X Data,Y Data,Standard Deviation
0.0,3.4754098360655736,1.5106893158699375
0.01,3.4098360655737703,1.4640730204436787
0.02,4.0,1.6496398017172829
0.03,3.7049180327868854,1.7400231984046344
0.04,4.229508196721311,1.9110845142025032
0.05,3.8688524590163933,1.8059592595305458
0.06,3.9344262295081966,2.023378544998734
0.07,4.360655737704918,1.8019369076603073
0.08,4.19672131147541,1.5766708247271595
0.09,4.688524590163935,1.6941653354444344
0.1,4.163934426229508,1.985028619101221
0.11,4.655737704918033,2.07155003264673
0.12,4.0,1.6595476373565592
0.13,4.426229508196721,1.928721791914188
0.14,4.163934426229508,1.7003406396313794
0.15,4.327868852459017,1.9309499189149621
0.16,4.655737704918033,2.015393594570886
0.17,5.016393442622951,2.1154529281230867
0.18,5.311475409836065,1.9547418898546942
0.19,5.311475409836065,1.7324386640816927
0.2,5.344262295081967,1.6878082198339344
0.21,5.409836065573771,1.6925782949692203
0.22,5.278688524590164,1.660842641562484
0.23,5.704918032786885,2.010988357402709
0.24,5.409836065573771,2.3285614301068467
0.25,5.049180327868853,2.091561731261734
0.26,5.409836065573771,1.9948873108427876
0.27,5.016393442622951,1.7319732258435658
0.28,5.639344262295082,2.2618198598042203
0.29,5.901639344262295,2.2739070012327476
0.3,5.60655737704918,2.3278688524590163
0.31,5.60655737704918,2.5432565191340237
0.32,6.131147540983607,2.3572379630188447
0.33,6.131147540983607,2.700791686215362
0.34,6.491803278688525,2.222264026600727
0.35,5.836065573770492,2.341222378418649
0.36,6.295081967213115,2.2128111510028794
0.37,6.508196721311475,2.5325613990561515
0.38,6.852459016393443,2.979911240694713
0.39,6.229508196721311,2.524590163934426
0.4,5.672131147540983,2.2081912446534737
0.41,5.442622950819672,2.343631693242695
0.42,6.131147540983607,2.4459763536252663
0.43,6.295081967213115,2.6817186946463645
0.44,6.327868852459017,2.45431244069919
0.45,6.557377049180328,2.4993414881178917
0.46,6.459016393442623,2.453326751020385
0.47,6.098360655737705,2.2594422497075475
0.48,5.901639344262295,2.6961108482391842
0.49,5.60655737704918,2.2708320748751203
0.5,5.967213114754099,2.1951303267239997
0.51,5.934426229508197,2.0714202972445266
0.52,6.163934426229508,2.1666649439418726
0.53,5.967213114754099,2.43584713183403
