CoM_Separation_Distance(nm) Free_Energy(kcal/mol)
8.539999999999999813e-01 3.499856999999999996e+00
8.756000000000000449e-01 2.296063000000000187e+00
8.971999999999999975e-01 1.881215000000000082e+00
9.187999999999999501e-01 1.818503999999999898e+00
9.404000000000000137e-01 1.357488999999999946e+00
9.619999999999999662e-01 9.365769999999999929e-01
9.836000000000000298e-01 6.541740000000000332e-01
1.005200000000000093e+00 5.392160000000000286e-01
1.026799999999999935e+00 3.519829999999999903e-01
1.048399999999999999e+00 1.931090000000000029e-01
1.070000000000000062e+00 1.653000000000000025e-01
1.091599999999999904e+00 9.564200000000000479e-02
1.113199999999999967e+00 7.604800000000000448e-02
1.134800000000000031e+00 1.870600000000000041e-02
1.156400000000000095e+00 3.822500000000000203e-02
1.177999999999999936e+00 0.000000000000000000e+00
1.199600000000000000e+00 3.003899999999999973e-02
1.221200000000000063e+00 6.417000000000000481e-02
1.242799999999999905e+00 7.888399999999999579e-02
1.264399999999999968e+00 1.472440000000000138e-01
1.286000000000000032e+00 2.298590000000000078e-01
1.307600000000000096e+00 2.785389999999999810e-01
1.329199999999999937e+00 3.927370000000000028e-01
1.350800000000000001e+00 5.066760000000000153e-01
1.372400000000000064e+00 5.980630000000000113e-01
1.393999999999999906e+00 7.406700000000000506e-01
1.415599999999999969e+00 8.927929999999999477e-01
1.437200000000000033e+00 1.005066000000000015e+00
1.458800000000000097e+00 1.135062999999999933e+00
1.480399999999999938e+00 1.313004999999999978e+00
1.502000000000000002e+00 1.346354000000000051e+00
1.523600000000000065e+00 1.538907000000000025e+00
1.545199999999999907e+00 1.673140999999999989e+00
1.566799999999999971e+00 1.890805000000000069e+00
1.588400000000000034e+00 1.985919999999999908e+00
1.610000000000000098e+00 2.146377999999999897e+00
1.631599999999999939e+00 2.296905999999999892e+00
1.653200000000000003e+00 2.411363000000000145e+00
1.674800000000000066e+00 2.556598000000000148e+00
1.696399999999999908e+00 2.688015000000000043e+00
1.717999999999999972e+00 2.717782000000000142e+00
1.739600000000000035e+00 2.913530000000000175e+00
1.761200000000000099e+00 3.092636000000000163e+00
1.782799999999999940e+00 3.141885999999999957e+00
1.804400000000000004e+00 3.306722000000000161e+00
1.826000000000000068e+00 3.380911999999999917e+00
1.847599999999999909e+00 3.612991000000000064e+00
1.869199999999999973e+00 3.678566000000000003e+00
1.890800000000000036e+00 3.687079000000000217e+00
1.912400000000000100e+00 3.927446000000000215e+00
1.933999999999999941e+00 3.865061999999999998e+00
1.955600000000000005e+00 3.932034999999999947e+00
1.977200000000000069e+00 4.125695999999999586e+00
1.998799999999999910e+00 4.302751999999999910e+00
2.020399999999999974e+00 4.446251000000000175e+00
2.041999999999999815e+00 4.514772999999999925e+00
2.063600000000000101e+00 4.667075999999999780e+00
2.085199999999999942e+00 4.733946999999999683e+00
2.106799999999999784e+00 4.911514999999999631e+00
2.128400000000000070e+00 5.020016000000000034e+00
2.149999999999999911e+00 5.082907999999999760e+00
2.171600000000000197e+00 5.254057000000000421e+00
2.193200000000000038e+00 5.389978000000000158e+00
2.214799999999999880e+00 5.623974999999999724e+00
2.236400000000000166e+00 5.763429999999999609e+00
2.258000000000000007e+00 5.948685000000000223e+00
2.279599999999999849e+00 6.025460999999999956e+00
2.301200000000000134e+00 6.102178000000000324e+00
2.322799999999999976e+00 6.165435000000000443e+00
2.344399999999999817e+00 6.371748000000000189e+00
2.366000000000000103e+00 6.511470000000000091e+00
2.387599999999999945e+00 6.737559000000000076e+00
2.409199999999999786e+00 6.671656999999999726e+00
2.430800000000000072e+00 6.936466000000000243e+00
2.452399999999999913e+00 6.864354999999999762e+00
2.474000000000000199e+00 7.006256999999999735e+00
2.495600000000000041e+00 7.112180000000000391e+00
2.517199999999999882e+00 7.159659999999999691e+00
2.538800000000000168e+00 7.657313000000000258e+00
2.560400000000000009e+00 7.453242999999999618e+00
2.581999999999999851e+00 7.997365000000000279e+00
2.603600000000000136e+00 8.132707999999999160e+00
2.625199999999999978e+00 7.992796000000000234e+00
2.646799999999999820e+00 8.113568000000000779e+00
2.668400000000000105e+00 8.328075000000000117e+00
2.689999999999999947e+00 8.202016000000000417e+00
2.711599999999999788e+00 8.489725999999999217e+00
2.733200000000000074e+00 8.678057000000000798e+00
2.754799999999999915e+00 8.757284000000000290e+00
2.776400000000000201e+00 8.898535000000000750e+00
2.798000000000000043e+00 9.046516000000000446e+00
2.819599999999999884e+00 9.294900999999999414e+00
2.841200000000000170e+00 9.130276999999999532e+00
2.862800000000000011e+00 9.447378999999999749e+00
2.884399999999999853e+00 9.351461000000000467e+00
2.906000000000000139e+00 9.705583000000000737e+00
2.927599999999999980e+00 9.912160000000000082e+00
2.949199999999999822e+00 1.039763199999999976e+01
2.970800000000000107e+00 9.924981999999999971e+00
2.992399999999999949e+00 9.996703000000000117e+00
3.013999999999999790e+00 1.061279200000000067e+01
3.035600000000000076e+00 9.937841999999999842e+00
3.057199999999999918e+00 1.009910999999999959e+01
3.078800000000000203e+00 1.040915399999999913e+01
3.100400000000000045e+00 1.064840000000000053e+01
3.121999999999999886e+00 1.071577699999999922e+01
3.143600000000000172e+00 1.143595499999999987e+01
3.186799999999999855e+00 1.156700299999999970e+01
3.208400000000000141e+00 1.121906899999999929e+01
3.251599999999999824e+00 1.175795300000000054e+01
3.273200000000000109e+00 1.182009099999999968e+01
3.294799999999999951e+00 1.146912900000000057e+01
3.316399999999999793e+00 1.152974099999999957e+01
3.338000000000000078e+00 1.158958600000000061e+01
3.359599999999999920e+00 1.206099799999999966e+01
3.381200000000000205e+00 1.170696200000000076e+01
3.402800000000000047e+00 1.176448899999999931e+01
3.424399999999999888e+00 1.158003599999999977e+01
3.446000000000000174e+00 1.228954300000000011e+01
3.467600000000000016e+00 1.234472799999999992e+01
3.489199999999999857e+00 1.174558900000000072e+01
3.510800000000000143e+00 1.149532300000000085e+01
3.532399999999999984e+00 1.168088799999999949e+01
3.553999999999999826e+00 1.160017500000000013e+01
3.575600000000000112e+00 1.260882900000000006e+01
3.618799999999999795e+00 1.205537099999999917e+01
3.640400000000000080e+00 1.275775100000000073e+01
3.661999999999999922e+00 1.280578900000000075e+01
3.683600000000000207e+00 1.219948300000000074e+01
3.705200000000000049e+00 1.224591099999999955e+01
3.726799999999999891e+00 1.187919300000000078e+01
3.748400000000000176e+00 1.233633999999999986e+01
3.770000000000000018e+00 1.238033899999999932e+01
3.791599999999999859e+00 1.191948499999999989e+01
3.813200000000000145e+00 1.216201399999999921e+01
3.834799999999999986e+00 1.233630999999999922e+01
3.856399999999999828e+00 1.213584299999999949e+01
3.878000000000000114e+00 1.208405600000000035e+01
3.899599999999999955e+00 1.212314899999999973e+01
3.921199999999999797e+00 1.225311999999999912e+01
