CoM_Separation_Distance(nm) Free_Energy(kcal/mol)
8.324000000000000288e-01 3.464081000000000188e+00
8.756000000000000449e-01 3.118088999999999889e+00
8.971999999999999975e-01 1.953111999999999959e+00
9.187999999999999501e-01 1.574834999999999985e+00
9.404000000000000137e-01 1.293735999999999997e+00
9.619999999999999662e-01 8.993020000000000458e-01
9.836000000000000298e-01 6.698680000000000190e-01
1.005200000000000093e+00 4.950160000000000116e-01
1.026799999999999935e+00 3.119790000000000063e-01
1.048399999999999999e+00 2.475479999999999903e-01
1.070000000000000062e+00 1.207509999999999972e-01
1.091599999999999904e+00 6.578000000000000513e-02
1.113199999999999967e+00 7.630499999999999783e-02
1.134800000000000031e+00 2.875399999999999831e-02
1.156400000000000095e+00 1.967299999999999952e-02
1.177999999999999936e+00 0.000000000000000000e+00
1.199600000000000000e+00 2.458600000000000022e-02
1.221200000000000063e+00 5.476600000000000218e-02
1.242799999999999905e+00 8.232100000000000528e-02
1.264399999999999968e+00 1.337230000000000085e-01
1.286000000000000032e+00 2.264639999999999986e-01
1.307600000000000096e+00 3.116550000000000153e-01
1.329199999999999937e+00 4.108479999999999910e-01
1.350800000000000001e+00 5.106110000000000371e-01
1.372400000000000064e+00 6.408160000000000522e-01
1.393999999999999906e+00 7.445629999999999749e-01
1.415599999999999969e+00 8.349680000000000435e-01
1.437200000000000033e+00 1.058235999999999954e+00
1.458800000000000097e+00 1.113091000000000053e+00
1.480399999999999938e+00 1.276585000000000081e+00
1.502000000000000002e+00 1.411837999999999926e+00
1.523600000000000065e+00 1.563555000000000028e+00
1.545199999999999907e+00 1.687815000000000065e+00
1.566799999999999971e+00 1.868972000000000078e+00
1.588400000000000034e+00 2.009545999999999832e+00
1.610000000000000098e+00 2.147800000000000153e+00
1.631599999999999939e+00 2.244899999999999896e+00
1.653200000000000003e+00 2.381307000000000063e+00
1.674800000000000066e+00 2.532804000000000055e+00
1.696399999999999908e+00 2.718383999999999912e+00
1.717999999999999972e+00 2.856644000000000183e+00
1.739600000000000035e+00 2.974561000000000011e+00
1.761200000000000099e+00 3.004824999999999857e+00
1.782799999999999940e+00 3.212307000000000023e+00
1.804400000000000004e+00 3.341568999999999789e+00
1.826000000000000068e+00 3.413874999999999993e+00
1.847599999999999909e+00 3.496491999999999933e+00
1.869199999999999973e+00 3.539476000000000067e+00
1.890800000000000036e+00 3.730354999999999865e+00
1.912400000000000100e+00 3.760574999999999779e+00
1.933999999999999941e+00 4.009708999999999968e+00
1.955600000000000005e+00 4.108858999999999817e+00
1.977200000000000069e+00 4.102717000000000169e+00
1.998799999999999910e+00 4.195967999999999698e+00
2.020399999999999974e+00 4.413103999999999694e+00
2.041999999999999815e+00 4.572428999999999633e+00
2.063600000000000101e+00 4.593088999999999977e+00
2.085199999999999942e+00 4.692232999999999876e+00
2.106799999999999784e+00 4.949880000000000280e+00
2.128400000000000070e+00 4.950714999999999755e+00
2.149999999999999911e+00 5.035975999999999786e+00
2.171600000000000197e+00 5.179140000000000299e+00
2.193200000000000038e+00 5.426963999999999899e+00
2.214799999999999880e+00 5.508567000000000213e+00
2.236400000000000166e+00 5.619498000000000104e+00
2.258000000000000007e+00 5.898418999999999635e+00
2.279599999999999849e+00 6.017113000000000156e+00
2.301200000000000134e+00 6.121762000000000370e+00
2.322799999999999976e+00 6.273982000000000170e+00
2.344399999999999817e+00 6.243713999999999764e+00
2.366000000000000103e+00 6.468501999999999974e+00
2.387599999999999945e+00 6.733515999999999835e+00
2.409199999999999786e+00 6.777135000000000353e+00
2.430800000000000072e+00 6.843466000000000271e+00
2.452399999999999913e+00 6.995121000000000144e+00
2.474000000000000199e+00 7.300043999999999755e+00
2.495600000000000041e+00 7.266305000000000014e+00
2.517199999999999882e+00 7.438603999999999772e+00
2.538800000000000168e+00 7.463595999999999897e+00
2.560400000000000009e+00 7.673258999999999830e+00
2.581999999999999851e+00 7.630937000000000303e+00
2.603600000000000136e+00 7.999014999999999986e+00
2.625199999999999978e+00 7.741805000000000270e+00
2.646799999999999820e+00 8.077667999999999182e+00
2.668400000000000105e+00 8.343142999999999532e+00
2.689999999999999947e+00 8.692365999999999815e+00
2.711599999999999788e+00 8.451446000000000680e+00
2.733200000000000074e+00 8.701658999999999367e+00
2.754799999999999915e+00 8.850158000000000413e+00
2.776400000000000201e+00 9.340275000000000105e+00
2.798000000000000043e+00 8.815616999999999592e+00
2.819599999999999884e+00 9.081514000000000308e+00
2.841200000000000170e+00 9.436892000000000280e+00
2.862800000000000011e+00 9.403539999999999566e+00
2.884399999999999853e+00 9.586423999999999168e+00
2.906000000000000139e+00 9.551700999999999553e+00
