Z,Mean Concentration
-75.0,0.0
-74.9,0.0
-74.8,0.0
-74.7,0.0
-74.60000000000001,0.0
-74.5,0.0
-74.4,0.0
-74.3,0.0
-74.2,0.0
-74.10000000000001,0.0
-74.0,0.0
-73.9,0.0
-73.8,0.0
-73.7,0.0
-73.60000000000001,0.0
-73.5,0.0
-73.4,0.0
-73.3,0.0
-73.2,0.0
-73.10000000000001,0.0
-73.0,0.0
-72.9,0.0
-72.8,0.0
-72.7,0.0
-72.60000000000001,0.0
-72.5,0.0
-72.4,0.0
-72.3,0.0
-72.2,0.0
-72.10000000000001,0.0
-72.0,0.0
-71.9,0.0
-71.8,0.0
-71.7,0.0
-71.60000000000001,0.0
-71.5,0.0
-71.4,0.0
-71.3,0.0
-71.2,0.0
-71.10000000000001,0.0
-71.0,0.0
-70.9,0.0
-70.8,0.0
-70.7,0.0
-70.60000000000001,0.0
-70.5,0.0
-70.4,0.0
-70.3,0.0
-70.2,0.0
-70.10000000000001,0.0
-70.0,0.0
-69.9,0.0
-69.8,0.0
-69.7,0.0
-69.60000000000001,0.0
-69.5,0.0
-69.4,0.0
-69.3,0.0
-69.2,0.0
-69.10000000000001,0.0
-69.0,0.0
-68.9,0.0
-68.8,0.0
-68.7,0.0
-68.60000000000001,0.0
-68.5,0.0
-68.4,0.0
-68.3,0.0
-68.2,0.0
-68.10000000000001,0.0
-68.0,0.0
-67.9,0.0
-67.8,0.0
-67.7,0.0
-67.60000000000001,0.0
-67.5,0.0
-67.4,0.0
-67.3,0.0
-67.2,0.0
-67.10000000000001,0.0
-67.0,0.0
-66.9,0.0
-66.8,0.0
-66.7,0.0
-66.60000000000001,0.0
-66.5,0.0
-66.4,0.0
-66.3,0.0
-66.2,0.0
-66.10000000000001,0.0
-66.0,0.0
-65.9,0.0
-65.8,0.0
-65.7,0.0
-65.60000000000001,0.0
-65.5,0.0
-65.4,0.0
-65.3,0.0
-65.2,0.0
-65.10000000000001,0.0
-65.0,0.0
-64.9,0.0
-64.8,0.0
-64.7,0.0
-64.60000000000001,0.0
-64.5,0.0
-64.4,0.0
-64.3,0.0
-64.2,0.0
-64.10000000000001,0.0
-64.0,0.0
-63.900000000000006,0.0
-63.800000000000004,0.0
-63.7,0.0
-63.6,0.0
-63.5,0.0
-63.400000000000006,0.0
-63.300000000000004,0.0
-63.2,0.0
-63.1,0.0
-63.0,0.0
-62.900000000000006,0.0
-62.800000000000004,0.0
-62.7,0.0
-62.6,0.0
-62.5,0.0
-62.400000000000006,0.0
-62.300000000000004,0.0
-62.2,0.0
-62.1,0.0
-62.0,0.0
